"participant","envy","guilt","temp_game1","temp_game2","sensitivity_game1","sensitivity_game2","alpha_Q_game1","alpha_Q_game2","nll","aic","bic","best_k","approach"
"gBos5wbJNi362wqKs",2.00000374519878,0.439671828435198,4.80856075611546,3.68156228957959,0.586305129415976,0.50978956521441,0.653608741566024,0.622718206782959,8.11181578456273,34.2236315691255,51.4318386179788,2,"hierarchical"
"GCi8ZTfP7pjNh3ygF",1.98968309261602,0.394935510466905,4.29822274412366,4.44977976799228,0.594142888440825,0.519971374724908,0.849173444081743,0.920718683853607,11.648634686959,41.297269373918,58.5054764227713,2,"hierarchical"
"gDDqZ4APaFDnAPkBM",2.01685664979619,0.304055663601073,3.97627643385905,4.48494268621564,0.683212546054861,0.449374286658521,0.858599545869702,0.949206920262036,12.5346531148161,43.0693062296323,60.0956889126279,3,"hierarchical"
"GEwKu8fxgYxA2CE7x",0.01,0.388340697374432,4.44902681235442,4.36167240714534,0.569683685913521,0.520612613532523,0.891625190180686,0.960771418515842,14.9879089541502,47.9758179083004,65.002200591296,2,"hierarchical"
"ggHn6ddbqYBsqqpj7",1.52028924485796,0.116117777429623,3.64193702472045,4.69654673800888,0.569643796040041,0.504773381035681,0.873144995146212,0.935015025474034,13.2267105307002,44.4534210614003,61.2942301595713,2,"hierarchical"
"gpreusFXTLjCquosK",2.00066168818761,0.557368237936801,4.08131930951454,5.19271253383021,0.53953059683633,0.265732234195088,0.843941085859935,0.436883854416115,9.42026058122977,36.8405211624595,53.8669038454552,3,"hierarchical"
"GwdKonwx45xH4bGJo",1.77859984670854,0.413824410574218,4.6529270439436,4.70375732839345,0.651019492748378,0.504282176329303,0.928402376559951,0.983563717735816,13.5363844430756,45.0727688861511,62.2809759350044,2,"hierarchical"
"h633xXHHiPR8zvQez",1.38842137403547,0.287465208239282,4.22754434819313,4.66511066112784,0.597588779125128,0.548621509517964,0.949447718378334,0.965694572414072,13.8818503828923,45.7637007657845,62.7900834487802,3,"hierarchical"
"hFnRGnnbkqJCyPjhF",1.34868816170611,0.277088722776011,4.18846931664079,3.96127073910306,0.588261545488623,0.480501346033809,0.825380382423072,0.85428137989457,11.1987381261065,40.3974762522129,57.6056833010662,2,"hierarchical"
"hfnZYnFrK2htSh7Fq",1.9380222295749,0.514993298140989,4.46629224516004,3.34824191543028,0.530290575494822,0.445342570089743,0.777049897876832,0.55446233613832,7.71689086389393,33.4337817277879,50.4601644107835,3,"hierarchical"
"hh4qJjYdwZYPEHeH8",1.40658056102712,0.312537360158153,4.30866329945906,4.6068085412302,0.571483119820977,0.630640981702615,0.942043617073784,0.99,14.4058735341974,46.8117470683948,63.6525561665659,2,"hierarchical"
"hibiX8TGatbBx887A",0.137660087936249,0.283021794880269,4.73965820005053,4.36677408641591,0.600620188793242,0.639773953998294,0.99,0.976532297509776,16.2497706108958,50.4995412217916,67.7077482706449,3,"hierarchical"
"i37oYBN2MWCukq7eP",2.00232944990922,0.349279099359836,4.60673928111788,4.54609302917416,0.729878307099324,0.40627946001649,0.654557641810007,0.964324107811303,10.1188757923728,38.2377515847455,55.4459586335988,2,"hierarchical"
"i9c86bTZtwmiy2QrN",2.01505223117635,0.264723239600265,4.54884375145474,4.59736517913482,0.544613752632475,0.464988273269302,0.982772282092557,0.912768187610215,13.4138307789444,44.8276615578887,61.4789899732792,2,"hierarchical"
"ig8TppDhAgvNhrq3a",1.81576488548419,0.244554994892607,4.3128858106186,4.56297060378107,0.64058878184749,0.582686852484417,0.953154818021659,0.979757691103525,14.1376525330007,46.2753050660014,63.1161141641725,2,"hierarchical"
"iJQmXH2QMqKPp6wyu",1.52604698403057,0.299957533195979,4.48425264783554,4.61320515806081,0.532346230285215,0.591255332561645,0.955152089515325,0.93984312074944,13.3762395028378,44.7524790056755,61.403807421066,3,"hierarchical"
"inGrj4rs6YNvqvAPb",2.04680294544694,0.312921441079767,4.29037206177134,4.21039026483376,0.545049547488205,0.559859059752113,0.966673317876012,0.786370778023302,11.7874819880244,41.5749639760488,58.2262923914393,2,"hierarchical"
"ipDaioMcYw6HwWoxW",1.99014550161217,0.265069840081522,4.24639856268251,4.63745268881785,0.621126348300618,0.668984430159528,0.804424080843698,0.852542423747631,10.8027526334766,39.6055052669532,56.6318879499488,3,"hierarchical"
"iqQMMWSpQpuKtpqzp",2.0006842838538,0.378609517356727,4.65178206194323,4.65632465996715,0.538119277845273,0.526131629447462,0.935230018768411,0.951870460004471,12.7624696493687,43.5249392987375,59.7849017066703,3,"hierarchical"
"iTsSFZydAxMNk4H5X",1.90878384584637,0.505649181467126,4.50257362422918,4.35061573800914,0.618129050016552,0.508593324258684,0.898647212875372,0.919196478163542,12.3045175594525,42.609035118905,59.6354178019007,3,"hierarchical"
"ixhJYtMzcxshRLyCH",1.75141543167932,0.287119150330967,4.58268128716016,4.50157958962839,0.589200344682588,0.544019219283247,0.942349081203761,0.956038440871127,13.2443688242811,44.4887376485622,61.3295467467332,3,"hierarchical"
"iYTgW5T333CWcsfmh",1.95009822532175,0.377051260037211,4.41789086327175,4.63543727794138,0.50869801829913,0.414643596596134,0.907983624059038,0.937963409854247,12.6190465503352,43.2380931006703,60.264475783666,2,"hierarchical"
"iZfaFMuMSyvAddwBS",2.00613678156622,0.383361263790853,4.67082618301247,4.75246649141354,0.514748569239622,0.513985809785792,0.898722715054633,0.956465825548744,12.3181962162781,42.6363924325562,59.2877208479467,3,"hierarchical"
"jbpaPgCaMgYkRWEao",1.64352243171774,0.241531210249159,4.57958259331186,4.35757862379162,0.532960386300159,0.508393995989273,0.432076869039289,0.381674528165279,3.55355345239806,25.1071069047961,42.3153139536494,3,"hierarchical"
"jtCkRhCfghMB4pSKc",1.789560059885,0.233369124919713,4.42236334696051,4.11224171515833,0.528260520598444,0.537250510299867,0.926453194293001,0.873065340481778,12.2353216523288,42.4706433046576,58.7306057125905,2,"hierarchical"
"jtSCTzq2BSCnhLpJm",1.35354908384419,0.253249194621893,4.56285486016225,4.62646434528965,0.530083503579523,0.640707926662084,0.883530370131924,0.99,13.3837948204874,44.7675896409747,61.4189180563652,3,"hierarchical"
"k75ryzJLnpnjcyWMZ",1.94489200584467,0.310278382928596,3.99056722311122,4.67498185213803,0.484883871015265,0.508502762267193,0.809213686244823,0.928817520396175,11.5903459265218,41.1806918530436,57.6384644214454,2,"hierarchical"
"kk82Zwq8qB3EPZDqz",1.9985419157443,0.555943141381322,4.47650925539518,3.50406583354395,0.73980334296395,0.463416328292497,0.848023096545466,0.618504444384315,9.62281720214918,37.2456344042984,54.4538414531517,2,"hierarchical"
"KQ3vR5FMgLmQFvHYY",1.28186849167486,0.253356795201756,4.77194158341566,4.58645232584745,0.559003968430889,0.541746121382705,0.978079193939599,0.975980615699367,14.3697635722492,46.7395271444985,63.5803362426695,3,"hierarchical"
"KRjcZ7HM83rHBHa2z",1.87752168397922,0.369592493033054,4.36708000889394,4.39767382797927,0.615978586890973,0.516597397991474,0.879351732379407,0.41684561056346,7.79267722837978,33.5853544567596,49.8453168646924,3,"hierarchical"
"KrMKd9t6wHWcie5KY",1.98655532050189,0.349916429853276,4.45120015058562,4.42836877826628,0.725723192109605,0.51437483371158,0.99,0.900033901524592,13.7600781936724,45.5201563873447,62.728363436198,2,"hierarchical"
"kS3ZuehqRYQaatj7X",1.43842314701292,0.213742601755971,4.06737760177863,4.35861177883807,0.662757125847643,0.558017586685971,0.952814690016856,0.924878599717554,13.7106865256011,45.4213730512023,62.6295801000556,3,"hierarchical"
"KsdrRF8ja8FFhws5f",1.94460428363141,0.372882334428484,4.35819826770828,4.54874498298638,0.191183805041754,0.552812765425671,0.772854215165326,0.966639566526075,12.6066158365577,43.2132316731154,60.4214387219687,3,"hierarchical"
"KyRPNfTRmBvPMrHqq",1.93405138091806,0.23354304782795,4.69385791933065,4.08759434278158,0.496843625456978,0.361985804250601,0.954388338828888,0.715019267051659,11.0826591482914,40.1653182965829,57.0061273947539,2,"hierarchical"
"LEGhKb3RP6EcgEKvX",2.04209343464511,0.37194690106028,4.61022167992691,4.74818178176755,0.655519639503822,0.495830490231465,0.978335473868061,0.919113764390491,13.1887661252902,44.3775322505804,61.5857392994338,3,"hierarchical"
"LpjrYMB38ej53iybS",1.98930718848271,0.241140815013471,3.81026524107858,4.36207603761747,0.56084574022474,0.588224959747626,0.716421954891465,0.796986242871528,9.03759286136439,36.0751857227288,53.1015684057244,2,"hierarchical"
"LrdehovdoeNoYXHvL",1.97400569458987,0.292802185258023,4.3792445695022,4.47422864541162,0.703668605067011,0.591925545246364,0.935675639736332,0.951882169567728,13.4940061047644,44.9880122095288,62.1962192583821,3,"hierarchical"
"m7jzbNcshmJ7ZZEwp",1.76829517072741,0.341831858601797,4.61401586010456,4.62033579609672,0.529595917426364,0.525117607360506,0.964447465099312,0.95977848694436,13.4538723232935,44.9077446465869,61.9341273295826,3,"hierarchical"
"M85ajvswFgHgYCgpD",1.97652412956754,0.323170849766667,4.39354696880452,4.73575116488886,0.590213434143548,0.504515829591044,0.946352349491048,0.95298312782439,13.1227794256082,44.2455588512164,60.8968872666069,3,"hierarchical"
"MBh52GAaDc7XcK7fu",2.00086108652592,0.466597133465595,3.42887335718741,5.03507955896178,0.379742655777825,0.536982626416749,0.673647535048756,0.657202968185416,7.93488286170357,33.8697657234071,51.0779727722605,2,"hierarchical"
"MDfLeY4zbfLsLWT97",1.99999873951361,0.357638196839006,4.42761894361568,4.43873253800103,0.514873212035848,0.503806937661547,0.401322461973126,0.370890803148882,2.67800325433734,23.3560065086747,40.564213557528,3,"hierarchical"
"mFsazycX7sAsp9h25",1.96828284383887,0.453444017439291,3.87439029469381,4.28355126377808,0.548423946370133,0.490886578160198,0.749747988890626,0.889005166460044,10.391796737767,38.783593475534,55.9918005243873,2,"hierarchical"
"MozhHaQ4szyqQu5eq",0.65315132380063,0.392420931551668,4.54507710419388,4.26378213793152,0.492904220219389,0.568335267938564,0.86971772104011,0.746081062010761,12.3406174004451,42.6812348008901,59.3325632162806,3,"hierarchical"
"msdLxvzuFuBEfwHNP",2.0018953401904,0.271097241939142,4.30345447435848,4.39749074717771,0.52484698710722,0.0131851058933125,0.415120218522219,0.721402111430447,7.32385721627834,32.6477144325567,49.85592148141,3,"hierarchical"
"mtSNnmY4epZtXbxjF",2.00881417266693,0.232145359077569,4.57020240166843,4.28106995433067,0.560386575375737,0.610741521814185,0.847202415845479,0.919170449322367,12.2333018101417,42.4666036202834,58.7265660282163,2,"hierarchical"
"MXMDFz7DphghwASKG",1.41339638450175,0.302255399561224,4.68761710162954,4.53105755648789,0.521452728402571,0.548509714582246,0.976115595381833,0.969484670740401,14.0818470162253,46.1636940324505,62.6214666008524,3,"hierarchical"
