"","sim_id","true_alpha_game1","fit_alpha_game1","true_alpha_game2","fit_alpha_game2","true_temp_game1","fit_temp_game1","true_temp_game2","fit_temp_game2","true_envy","fit_envy","true_guilt","fit_guilt","neg_log_lik"
"40",40,0.375000176429749,0.0422921977389982,0.126010474781506,0.0511982921407457,0.757678088452667,0.1,1.16598440902308,0.390582263200415,1.77658913191408,2.44995620153015,1.43961236416362,1.336145681291,42.0267831085296
"41",41,0.599676469536498,0.755617694523179,0.172753934971988,0.158570195752504,3.339072436071,6.96607239287335,2.41461259315256,5.7852832622721,1.69483474176377,2.46052912226282,0.437871495145373,0.01,58.9562747615033
"42",42,0.416440843851306,0.616396117608882,0.155286127035506,0.576408144414124,2.70001461603679,3.17447910684979,3.48300768933259,15,0.960207377094775,0.279594458674123,0.793687732773833,0.85935024894373,57.3883770201674
"43",43,0.726752631608397,1,0.172190576940775,0.361656703237272,3.83629940857645,0.1,3.93509286560584,15,0.403986424207687,1.62474858970646,0.612696236232296,0.510625003359702,48.0536094089144
"44",44,0.228538761241361,0.0117381693704291,0.261834552874789,0.0434163600496525,2.04610786440317,0.1,3.99004589302931,0.277059016202318,1.45749843446538,1.40706856681487,1.39532971882727,1.1502782912308,68.1739005051184
"45",45,0.0203772426582873,0.00587413252291998,0.0492131501622498,0.0664141750838086,1.70449923395645,0.223316392163548,1.99361534821801,12.7622724554068,1.23543432168663,5,0.690569126978517,0.541794007765445,87.7836822020413
"46",46,0.757947690426372,0.938210941672965,0.846903990218416,1,3.82031755868811,8.06418972275755,0.529037546738982,0.1,1.36752186110243,5,0.64916968869511,0.111256151254313,14.4796340650959
"47",47,0.584909113575704,1,0.780387193043716,1,1.94127879925072,4.84055410898978,0.868712128465995,0.1,1.19390479195863,1.02561436351744,0.159529903437942,0.01,16.869917801011
"48",48,0.779231047322974,0.240649089837776,0.360281467856839,0.0387701538147181,2.87555339408573,0.428852668690752,3.76621842237655,0.456243188691627,0.545888332650065,0.623183920867693,0.937736562802456,2,33.7992854734355
"49",49,0.92198321686592,1,0.770374381504953,1,1.7708630142035,0.0999999999999999,1.36445706044324,0.1,0.316188069060445,0.01,1.30644351406954,1.99283715623119,8.77647581194632
"50",50,0.259204987725243,1,0.222736670756713,0.951489486716905,3.38812693662476,11.4185608847153,2.00557965694461,9.76347209189554,1.14193292194977,4.18207535960682,0.164369608042762,0.01,39.3390933439229
"51",51,0.355630310000852,0.00498889980323003,0.930060973437503,0.823432070434149,4.90208497305866,7.12507320370309,0.731528358813375,0.1,1.10993771534413,5,0.860702011850663,0.01,48.3751369006523
"52",52,0.59849492690526,0.998719184315007,0.736678591440432,0.62904791093764,0.182150309742428,0.1,4.74570724158548,4.68412516040369,0.261304151266813,0.01,0.0406069618184119,0.01,16.3947782564874
"53",53,0.369004007047042,0.0152087019101599,0.126223367312923,0.00992816973773796,3.60636301520281,0.1,2.74412403088063,0.456376993604063,1.1642842721194,1.06174001590703,1.35343776759692,1.99537832810183,71.3549795507781
"54",54,0.899753374010325,1,0.29427368610166,0.221850354630744,4.56495302354451,0.1,0.916158105921932,0.858998417409231,1.99470559228212,1.86548510764163,0.994517164654098,0.912044922018209,39.290496504419
"55",55,0.755155316716991,1,0.284781842422672,0.226549077695973,4.58233804332558,3.24122678700048,0.683136650198139,0.60929278725749,0.436535915825516,1.8116528222561,1.16407473175786,1.38428278538899,43.5842746636517
"56",56,0.167866239594296,0.00169576493766143,0.792636545668356,1,4.16593779206742,0.106517121048126,0.901024058321491,0.1,1.22354325046763,1.3783896310157,0.951868667034432,1.04843882456942,53.0176758630611
"57",57,0.32907233777456,0.0101019194164938,0.327492401232012,1,4.89947809160221,0.1,2.21628836323507,0.1,0.653188075870275,1.1717237124892,1.18746146955527,1.21944752970409,48.3084911316452
