"","sim_id","true_envy","fit_envy","true_guilt","fit_guilt","true_temp","fit_temp","true_sensitivity","fit_sensitivity","true_alpha_MF","fit_alpha_MF","true_alpha_MB","fit_alpha_MB","true_w","fit_w","true_k","fit_k","nll"
"envy22",23,1.71005212018965,0.01,0.438468190554995,0.01,4.6354235050967,0.1,1.51120980426436,2,0.281502769170329,0.99,0.682779984278604,0.99,0.921347253955901,1,2,1,3.0786484472903e-12
"envy23",24,0.942898185558151,0.01,0.159175509135239,0.01,2.82573965357151,0.1,0.121397887861822,1.54519480000251,0.731810722788796,0.01,0.0121520505240187,0.878418059044302,0.0873145037330687,1,3,1,7.3213879406191e-11
"envy24",25,1.37996035645716,0.01,0.136655389529187,0.01,3.09369894575793,0.1,1.30288675544783,1.62945684857546,0.347468966208398,0.99,0.685125111332163,0.99,0.568816357292235,2.19942318722671e-16,3,1,4.44089209850063e-16
"envy25",26,1.29851896177046,0.0806490535554812,0.350512749827467,0.01,4.02306798032951,1.38104189888298,0.656805451598484,1.91518375091882,0.271940116700716,0.01,0.0783855009591207,0.99,0.570517370710149,1,2,2,8.03272781802238e-10
"envy26",27,0.925963492523879,0.01,0.561359766428359,0.372495189652646,3.39559227980208,0.1,1.36773572487989,1.2220088419949,0.882844229652546,0.857275083453797,0.662716342844069,0.961591823256676,0.524005986517295,0,1,1,1.00239735415426e-06
"envy27",28,0.92965275868075,0.01,0.413372408328578,0.0602884726292059,4.19302818740252,0.1,0.27645346530946,0.01,0.862140723890625,0.803322579504389,0.394493641536683,0.01,0.620009697740898,0,3,1,4.0742767013188e-09
"envy28",29,0.907325344665442,0.01,0.317230088161305,0.01,4.31015707293991,0.1,1.41834615952335,0.660062647790172,0.5558279431751,0.99,0.246448431154713,0.99,0.524398324312642,1,2,1,0
"envy29",30,1.41599156201119,0.00999999999999996,0.975804241118021,0.067071619986128,2.38257780233398,0.0999999999999999,0.603104930692352,0.10885416832186,0.819922821335495,0.866196386613065,0.893616722896695,0.827101832267804,0.614050482865423,0.276892705095061,2,1,0
"envy30",31,0.723447856972925,0.01,0.542839608970098,0.01,3.13205991520081,1.51538775104581,0.501875814541709,2,0.457438176888973,0.01,0.110094219222665,0.99,0.0146596960257739,1,1,2,1.08712816555411e-09
"envy31",32,0.684961328096688,0.01,0.738893732395954,0.01,1.40599995439407,0.1,0.208460210312624,2,0.375976487244479,0.99,0.0872368090227246,0.99,0.226140472339466,1,1,2,0
