playerId,Age,Sex,Country of birth,Ethnicity simplified
Suf75kfKvqyAqe5a5,26,Male,Hungary,White
mtSNnmY4epZtXbxjF,51,Male,United Kingdom,White
nzAZFfjoyKnjRsrFS,27,Female,India,Asian
D5gA3jaFXLPFZTGqd,29,Female,South Africa,Black
jtSCTzq2BSCnhLpJm,33,Female,Portugal,White
RAnPiw2wuw8cPAnZM,19,Female,South Africa,Black
ejSnuLvqgFkRBorH5,47,Female,Zimbabwe,Black
Tomg5iun2wXdEtrGb,20,Male,South Africa,Mixed
up72PaREeYvSt8NGC,24,Male,Poland,White
Q9yqtaGi2EPt3hwfa,27,Female,South Africa,Black
85QnxjnxoDBHR56h9,28,Female,Poland,White
M85ajvswFgHgYCgpD,36,Male,United Kingdom,White
YcSSS9cB9GAyueBcA,22,Male,United Kingdom,Asian
tHGcfndE9oTaQrbZo,27,Male,South Africa,Black
NFBuuZTCH8LQ2kWCB,21,Male,United Kingdom,Black
rCALFNNX4fFAWXKF4,28,Male,Portugal,White
nCh2LGBiZh9Zbacqh,31,Female,Spain,White
B93AwGvKW9caWEvmu,35,Male,South Africa,White
Ea7HtzzgbTJQYT5Fj,19,Female,South Africa,Black
iZfaFMuMSyvAddwBS,49,Female,United Kingdom,White
f2FdHBZDr8q5bibLi,28,Female,South Africa,White
MXMDFz7DphghwASKG,20,Male,Morocco,Black
KsdrRF8ja8FFhws5f,29,Female,South Africa,Black
uf3savX4JPbojL3W4,27,Female,South Africa,Black
feAs2YDsezGm7Y4tB,20,Male,South Africa,Black
WPFaEtA7nyZHg4Y47,30,Male,Canada,White
KyRPNfTRmBvPMrHqq,21,Female,South Africa,Black
G4WM9iR3ErZ7APDvS,20,Male,South Africa,Black
zgoFBo6m4D8jZDPFE,38,Female,United Kingdom,White
dWKqjzJQddLdGTCjg,26,Female,Kenya,Black
3dbsqfSprGiQhZaLf,37,Female,Philippines,Asian
wG6QjNWp5mYqNWuBF,41,Male,South Africa,Black
n3MHhgEbesYtmt2kn,20,Male,United States,Black
NdwuaTz3c455EDcMR,27,Female,South Africa,Black
vqYFpsi2erDcHcAvs,18,Female,Hong Kong,Asian
Dbtfi7wLjginpt97g,39,Male,Nigeria,Black
